bird_y,bird_vertical_movement,pipe_y,pipe_dist,space_pressed
220,-4.299999999999999,300,-35.0,0
217,-3.499999999999999,300,-43.0,0
214,-2.7,300,-51.0,0
212,-1.8499999999999992,300,-59.5,0
211,-0.9999999999999992,300,-68.0,0
211,-0.199999999999999,300,-76.0,0
212,0.600000000000001,300,-84.0,0
213,1.400000000000001,300,-92.0,0
215,2.200000000000001,300,-100.0,0
218,3.050000000000001,768,489.5,0
222,3.8500000000000014,768,481.5,0
227,4.650000000000001,768,473.5,0
232,5.500000000000002,768,465.0,0
239,6.300000000000002,768,457.0,0
246,7.150000000000002,768,448.5,0
254,7.950000000000002,768,440.5,0
262,8.750000000000002,768,432.5,0
272,9.550000000000002,768,424.5,0
282,10.350000000000003,768,416.5,0
294,11.200000000000005,768,408.0,0
306,12.000000000000004,768,400.0,0
318,12.800000000000004,768,392.0,0
332,13.600000000000003,768,384.0,0
346,14.400000000000006,768,376.0,0
362,15.200000000000006,768,368.0,0
378,16.050000000000008,768,359.5,0
394,16.85000000000001,768,351.5,0
412,17.65000000000001,768,343.5,0
431,18.50000000000001,768,335.0,0
450,19.30000000000001,768,327.0,0
470,20.0,768,319.0,0
490,20.0,768,310.5,0
510,20.0,768,302.5,0
530,20.0,768,294.0,0
550,20.0,768,286.0,0
570,20.0,768,278.0,0
590,20.0,768,270.0,0
610,20.0,768,262.0,0
630,20.0,768,253.5,0
650,20.0,768,245.5,0
670,20.0,768,237.5,0
690,20.0,768,229.0,0
710,20.0,768,221.0,0
730,20.0,768,213.0,0
750,20.0,768,204.5,0
770,20.0,768,196.5,0
790,20.0,768,188.5,0
810,20.0,768,180.5,0
830,20.0,768,172.5,0
850,20.0,768,164.5,1
836,-14.2,768,156.5,0
822,-13.4,768,148.5,0
810,-12.55,768,140.0,0
798,-11.749999999999998,768,132.0,0
787,-10.9,768,123.5,0
777,-10.099999999999998,768,115.5,0
768,-9.299999999999995,768,107.5,0
759,-8.499999999999996,768,99.5,0
751,-7.699999999999997,768,91.5,0
745,-6.899999999999997,768,83.5,0
738,-6.099999999999997,768,75.5,0
733,-5.2499999999999964,768,67.0,0
729,-4.399999999999997,768,58.5,0
725,-3.5499999999999967,768,50.0,0
723,-2.7499999999999964,768,42.0,0
721,-1.9499999999999964,768,34.0,0
719,-1.1499999999999964,768,26.0,0
719,-0.2999999999999962,768,17.5,0
720,0.5500000000000038,768,9.0,0
721,1.350000000000004,768,1.0,0
723,2.200000000000004,768,-7.5,0
726,3.000000000000004,768,-15.5,0
730,3.850000000000004,768,-24.0,0
